userId	geneSymbol	geneName	entrezgene	score	gLink
AAAS	AAAS	aladin WD repeat nucleoporin	8086	-0.0015745658845760027	https://www.ncbi.nlm.nih.gov/gene/?term=8086
AACS	AACS	acetoacetyl-CoA synthetase	65985	-7.152497224449237e-4	https://www.ncbi.nlm.nih.gov/gene/?term=65985
AADAC	AADAC	arylacetamide deacetylase	13	-0.0012344979813334565	https://www.ncbi.nlm.nih.gov/gene/?term=13
AAK1	AAK1	AP2 associated kinase 1	22848	-0.0015867995663324185	https://www.ncbi.nlm.nih.gov/gene/?term=22848
AAMP	AAMP	angio associated migratory cell protein	14	-7.679637159238707e-4	https://www.ncbi.nlm.nih.gov/gene/?term=14
AARS	AARS	alanyl-tRNA synthetase	16	-0.0011011792723784825	https://www.ncbi.nlm.nih.gov/gene/?term=16
AASDHPPT	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	60496	-0.0012280923068512957	https://www.ncbi.nlm.nih.gov/gene/?term=60496
AASS	AASS	aminoadipate-semialdehyde synthase	10157	-0.0011774429243781932	https://www.ncbi.nlm.nih.gov/gene/?term=10157
AATF	AATF	apoptosis antagonizing transcription factor	26574	-0.0019180868104235517	https://www.ncbi.nlm.nih.gov/gene/?term=26574
AATK	AATK	apoptosis associated tyrosine kinase	9625	0.06234470670572777	https://www.ncbi.nlm.nih.gov/gene/?term=9625
ABAT	ABAT	4-aminobutyrate aminotransferase	18	-5.733382320976331e-4	https://www.ncbi.nlm.nih.gov/gene/?term=18
ABCA1	ABCA1	ATP binding cassette subfamily A member 1	19	-0.0020326806350987577	https://www.ncbi.nlm.nih.gov/gene/?term=19
ABCA3	ABCA3	ATP binding cassette subfamily A member 3	21	-0.002245505944920607	https://www.ncbi.nlm.nih.gov/gene/?term=21
ABCA5	ABCA5	ATP binding cassette subfamily A member 5	23461	-8.471323542903681e-4	https://www.ncbi.nlm.nih.gov/gene/?term=23461
ABCA7	ABCA7	ATP binding cassette subfamily A member 7	10347	-3.354922656486677e-4	https://www.ncbi.nlm.nih.gov/gene/?term=10347
ABCB10	ABCB10	ATP binding cassette subfamily B member 10	23456	-3.2070595193024276e-4	https://www.ncbi.nlm.nih.gov/gene/?term=23456
ABCB6	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	10058	-4.786462369432021e-4	https://www.ncbi.nlm.nih.gov/gene/?term=10058
ABCB7	ABCB7	ATP binding cassette subfamily B member 7	22	-3.0087533968659264e-4	https://www.ncbi.nlm.nih.gov/gene/?term=22
ABCB8	ABCB8	ATP binding cassette subfamily B member 8	11194	7.453820177466224e-4	https://www.ncbi.nlm.nih.gov/gene/?term=11194
ABCB9	ABCB9	ATP binding cassette subfamily B member 9	23457	2.7612210273861065e-4	https://www.ncbi.nlm.nih.gov/gene/?term=23457
ABCC3	ABCC3	ATP binding cassette subfamily C member 3	8714	-1.1149199116440559e-4	https://www.ncbi.nlm.nih.gov/gene/?term=8714
ABCC4	ABCC4	ATP binding cassette subfamily C member 4	10257	-2.3226923986478202e-4	https://www.ncbi.nlm.nih.gov/gene/?term=10257
ABCC5	ABCC5	ATP binding cassette subfamily C member 5	10057	-4.2517528289936384e-4	https://www.ncbi.nlm.nih.gov/gene/?term=10057
ABCC8	ABCC8	ATP binding cassette subfamily C member 8	6833	-0.0011670964886222965	https://www.ncbi.nlm.nih.gov/gene/?term=6833
ABCD1	ABCD1	ATP binding cassette subfamily D member 1	215	4.591276291100695e-4	https://www.ncbi.nlm.nih.gov/gene/?term=215
ABCD3	ABCD3	ATP binding cassette subfamily D member 3	5825	-0.0011520966126566303	https://www.ncbi.nlm.nih.gov/gene/?term=5825
ABCD4	ABCD4	ATP binding cassette subfamily D member 4	5826	-4.361600184977824e-4	https://www.ncbi.nlm.nih.gov/gene/?term=5826
ABCE1	ABCE1	ATP binding cassette subfamily E member 1	6059	-9.403078458356381e-5	https://www.ncbi.nlm.nih.gov/gene/?term=6059
ABCF1	ABCF1	ATP binding cassette subfamily F member 1	23	-0.0012491844031157127	https://www.ncbi.nlm.nih.gov/gene/?term=23
ABCF2	ABCF2	ATP binding cassette subfamily F member 2	10061	-9.939265821000446e-4	https://www.ncbi.nlm.nih.gov/gene/?term=10061
ABCF3	ABCF3	ATP binding cassette subfamily F member 3	55324	-4.0695936592093687e-4	https://www.ncbi.nlm.nih.gov/gene/?term=55324
ABCG1	ABCG1	ATP binding cassette subfamily G member 1	9619	0.06514088606975087	https://www.ncbi.nlm.nih.gov/gene/?term=9619
ABCG2	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	9429	-6.122493648160896e-4	https://www.ncbi.nlm.nih.gov/gene/?term=9429
ABCG5	ABCG5	ATP binding cassette subfamily G member 5	64240	-5.538229428908153e-4	https://www.ncbi.nlm.nih.gov/gene/?term=64240
ABHD1	ABHD1	abhydrolase domain containing 1	84696	-1.0273394420913948e-4	https://www.ncbi.nlm.nih.gov/gene/?term=84696
ABHD10	ABHD10	abhydrolase domain containing 10	55347	-0.001861100673698761	https://www.ncbi.nlm.nih.gov/gene/?term=55347
ABHD11	ABHD11	abhydrolase domain containing 11	83451	-0.0024615563849749527	https://www.ncbi.nlm.nih.gov/gene/?term=83451
ABHD13	ABHD13	abhydrolase domain containing 13	84945	-2.091606996208689e-4	https://www.ncbi.nlm.nih.gov/gene/?term=84945
ABHD14A	ABHD14A	abhydrolase domain containing 14A	25864	-3.516023131787753e-4	https://www.ncbi.nlm.nih.gov/gene/?term=25864
ABHD14B	ABHD14B	abhydrolase domain containing 14B	84836	-8.918609844098906e-4	https://www.ncbi.nlm.nih.gov/gene/?term=84836
ABHD2	ABHD2	abhydrolase domain containing 2	11057	-5.258630611769804e-4	https://www.ncbi.nlm.nih.gov/gene/?term=11057
ABHD3	ABHD3	abhydrolase domain containing 3	171586	-6.098882951048715e-4	https://www.ncbi.nlm.nih.gov/gene/?term=171586
ABHD6	ABHD6	abhydrolase domain containing 6	57406	-0.0011184451092683026	https://www.ncbi.nlm.nih.gov/gene/?term=57406
ABHD8	ABHD8	abhydrolase domain containing 8	79575	2.0816474928241993e-4	https://www.ncbi.nlm.nih.gov/gene/?term=79575
ABI3	ABI3	ABI family member 3	51225	-0.0021570926075097576	https://www.ncbi.nlm.nih.gov/gene/?term=51225
ABI3BP	ABI3BP	ABI family member 3 binding protein	25890	-0.0022699919134822636	https://www.ncbi.nlm.nih.gov/gene/?term=25890
ABL1	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	25	-8.910563263788213e-4	https://www.ncbi.nlm.nih.gov/gene/?term=25
ABL2	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	27	0.06004419251854729	https://www.ncbi.nlm.nih.gov/gene/?term=27
